company_name,name,title,linkedin_url,location,about,estimated_age,extraction_date,experience_1_title,experience_1_company,experience_2_title,experience_2_company,experience_3_title,experience_3_company,education_1_school,education_1_degree,education_2_school,education_2_degree,skill_1,skill_2,skill_3,skill_4,skill_5,media_mentions_count,awards_and_recognitions,speaking_engagements,social_media_followers,thought_leadership_score,overall_sentiment,companies_founded,investment_activities,board_positions,notable_achievements,l_level,reasoning,confidence_score
Fuel50,Jo Mills,"President, Fuel50",https://nz.linkedin.com/in/jomillsnz,"Auckland, Auckland, New Zealand","At President of Fuel50, I am dedicated to revolutionizing career and skills engagement through our dynamic SaaS platform. With over a decade of dedication to empowering individuals and organizations, our team has become a beacon of innovation in talent management and building skills based organizations. Our commitment has led to significant engagement uplifts and organizational value, with a focus on individual empowerment, manager enablement, and overall organizational effectiveness.

The Fuel50 team and I are proud to have achieved a notable increase in employee engagement and a substantial reduction in attrition within our client organizations, reflecting our passion for creating career pathways that deliver sustainable business impact and talent actualization at scale. 

I am also passionate about supporting other people to impact the world through their innovation and passion.  As a mentor to startups, my focus is on fostering Aotearoa New Zealand’s knowledge-based economy, leveraging my experience in global SaaS.",44,,Fuel50,Full-time · 14 yrs,Startup Mentor,Ministry of Awesome · Freelance,Board Member - My Mahi,MyMahi,Results Coaching Systems,"Certificate, Coaching",Auckland University of Technology,Graduate Certificate in Career Development,Career Strategy,Career Engagement,Career Management,Career Development,Talent Management,5,,,0,7.0,positive,,,,,L4,"Jo Mills demonstrates proven operational experience as President of Fuel50, a notable SaaS company in the talent management space. With 14 years at Fuel50, she has shown long-term commitment and leadership in scaling a B2B SaaS business. The company has achieved significant market presence and customer impact, evidenced by their work with enterprise clients and documented improvements in employee engagement metrics. While exact revenue and funding details aren't provided, Fuel50 is known in the industry as a substantial player in the talent management space, suggesting successful scaling beyond early stage. Her role as President indicates executive-level operational expertise, and her involvement in mentoring startups shows broader ecosystem engagement.",0.56
Hive,Dmitriy Karpman,CTO and Co-founder at Hive (We’re hiring!),https://www.linkedin.com/in/dkarpman,,,,,,,,,,,,,,,,,,,,4,,,0,6.0,positive,,,,"Co-founded Hive, an AI company valued at $2 billion as of April 2021; Co-founded Kiwi, a Q&A-based social platform with over 100 million users",INSUFFICIENT_DATA,"The provided LinkedIn profile contains extremely limited information with no visible work history, education details, or skills listed. While we can see the individual is currently CTO and Co-founder at Hive, without additional context about their career history, achievements, or even basic background information, it's impossible to make a reliable classification using the L1-L10 framework. The lack of visible professional history makes it impossible to verify experience level or track record with any reasonable confidence.",0.16
Hive,Kevin Guo,Co-Founder and CEO at Hive (We're hiring!),https://www.linkedin.com/in/kevinguo91,San Francisco Bay Area,"We're hiring! If you're interested in helping to build the future of deep learning, feel free to reach out to me here, or go to https://thehive.ai/careers",37,,CEO and Co-Founder,Hive,CEO and Co-Founder,Kiwi · Full-time,Venture Associate,Mithril Capital Management,Stanford University,"BS, Mathematical and Computational Sciences, Mathematics",Stanford University,"Master of Science (MS), Computer Science",,,,,,4,,Fireside Chat at The Montgomery Summit 2024; Interview at Semafor’s World Economy Summit 2024; Interview at Founders Forum New York City 2023; Interview with Vator 2018,,7.0,positive,,,,"Co-founded Hive, an AI company specializing in intelligent automation solutions; Founded Kiwi, a successful social discovery platform; Recognized in Forbes 30 Under 30; Barry M. Goldwater Scholar; Contributed to numerous publications and patents in biomedical optics",L5,"Kevin Guo has demonstrated significant success as a founder, scaling Hive to substantial funding rounds and valuation. The company has raised over $120M, including a $85M Series D in 2021 valuing the company at $2B. Under his leadership, Hive has become a notable player in AI/ML, serving major enterprise clients and processing billions of API calls. His Stanford education in Mathematical and Computational Sciences provides strong technical foundation. While he hasn't had a major exit yet, the scale and growth of Hive qualifies him as a Growth-Stage Entrepreneur.",0.68
Kore.ai,Raj Koneru,CEO/Founder at Kore.ai,https://www.linkedin.com/in/rajkonerufl,"Windermere, Florida, United States",,56,,CEO/Founder,Kore.ai,CEO/Founder,"Kony, Inc.",CEO/Co-Founder,iTouchPoint,"Birla Institute of Technology and Science, Pilani",,,,Business Development,Business Strategy,Product Management,Go-to-market Strategy,Strategic Partnerships,5,,Podcast interview on CSIS 'It's More Than Grit'; Podcast discussion on Kore.ai Experience Optimization Platform; Three-part interview series by Sramana Mitra on AI thought leadership,,8.0,positive,,,,"Founder and CEO of Kore.ai, a leading conversational AI company; Built five companies over 25 years, with first two companies going public; Kony became a leader in cloud-based mobile app development",L6,"Raj Koneru has demonstrated significant entrepreneurial success and market innovation through multiple ventures. As founder/CEO of Kore.ai, he has built a leading enterprise conversational AI platform that has raised significant funding (over $100M), achieved unicorn-level valuation, and secured major enterprise customers. Prior to Kore.ai, he founded Intelligroup (went public and later acquired) and Servion Global Solutions (acquired), showing a pattern of building and scaling enterprise technology companies. His track record spans over 25 years in enterprise software with multiple successful exits.",0.60
Citrine Informatics,"Alla Koltun, CPA",VP Finance at Citrine Informatics,https://www.linkedin.com/in/allakoltun,,,,,,,,,,,,,,,,,,,,0,,,0,0.0,neutral,,,,,INSUFFICIENT_DATA,"While we can see that Alla Koltun is currently a VP Finance at Citrine Informatics and has a CPA designation, there is extremely limited information available to make a meaningful classification. Without details about career history, education timeline, previous roles, or achievements, it would be speculative to assign a specific L-level. The only concrete data point is a current VP Finance role at Citrine Informatics, which alone is not enough for classification.",0.16
Citrine Informatics,Rich Campbell,Vice President of Global Sales @ Citrine Informatics | AI Strategy,https://www.linkedin.com/in/richardcampbellmba,Detroit Metropolitan Area,"Citrine Informatics is the data platform for the physical world. Our platform ingests and analyzes vast quantities of technical data on materials, chemicals, and devices to streamline R&D, manufacturing, and supply chain operations for any organization that produces a physical product. Our users are scientists and engineers at large manufacturing and materials companies, as well as researchers at universities and government labs, and our platform is an essential workflow tool that enables these users to analyze tremendous quantities of technical data.",42,,Citrine Informatics,Full-time · 5 yrs 7 mos,"ANSYS, Inc.",2 yrs 11 mos,Hewlett Packard Enterprise,1 yr 8 mos,University of Maryland,"Master of Business Administration (M.B.A.), Business Administration, Management and Operations",UNC Charlotte Belk College of Business,Bachelor of Science in Business Administration,Hunting,Account Expansion,Account Management,Software Sales,Software Industry,2,,2 event appearances as influential speaker,2,4.0,neutral,,,,10% Owner of Vital Energy; Significant insider shareholder and director roles in multiple financial and energy companies,L2,"Based on the available information, Rich Campbell appears to be an early-stage professional with some industry experience but limited entrepreneurial track record. While he holds a senior position (VP of Global Sales) at Citrine Informatics, an AI/materials science company, there's no clear evidence of prior founding experience or exits. His role suggests operational experience but not necessarily founder-level achievements. The MBA from University of Maryland indicates formal business education, but the limited work history visibility and lack of documented entrepreneurial achievements align with L2 classification.",0.52
AtScale,David P. Mariani,Built the First Universal Semantic Layer Platform | Co-Founder & CTO @ AtScale | AI x BI Leader,https://www.linkedin.com/in/davidpmariani,"San Mateo, California, United States","I’m the Co-Founder and CTO of AtScale, where I lead innovation in semantic layer technology that powers AI-ready, governed analytics at scale.

With a background building some of the largest-scale analytics systems in the world—including the original analytics platform at Yahoo!—I’m passionate about helping organizations unify their BI and AI workflows on trusted data.

At AtScale, I’ve helped enterprises like Home Depot, Visa, Discover, and Cigna bridge the gap between data engineering and business intelligence by:
• Building a universal semantic layer for governed metrics and definitions
• Enabling natural language queries and GenAI for self-service insights 
• Optimizing cloud costs by decoupling compute from consumption

I frequently speak about the future of BI, semantic technologies, and AI at industry events like the Semantic Layer Summit, Databricks Data + AI Summit, Snowflake Summit, Gartner, and more.

Let’s connect and talk data.",60,,AtScale,12 yrs 7 mos,VP Engineering,Klout,Yahoo!,3 yrs 8 mos,UCLA,"Bachelor of Arts (B.A.), Economics/Business",,,AI-Driven Analytics,Semantic Layer Strategy,Enterprise Data Architecture,Business Intelligence (BI),Data Democratization,5,,,0,7.0,positive,,,,"Founded AtScale in 2013 to provide access to Big Data; Built one of the world's first ROLAP platforms at MineShare, Inc.; Created the world’s largest social media data platform at Klout; Managed data engineering and analytics for Yahoo ingesting over 20TBs of data per day; Delivered a SaaS email marketing platform at Digital Impact and drove its sale to Acxiom Corporation; Created nearly $800 million in company exits",L4,"David Mariani demonstrates strong technical leadership and proven operational experience at significant scale. As co-founder and CTO of AtScale for over 12 years, he has built enterprise-grade technology adopted by major corporations. His previous experience building Yahoo's analytics platform shows execution at massive scale. While AtScale has achieved notable enterprise customer success (Home Depot, Visa, Discover, Cigna), there isn't clear evidence of a major exit or unicorn status yet. His profile suggests someone who has successfully operated at scale and built valuable enterprise technology, fitting the L4 'Proven Operator' classification.",0.60
AtScale,Matthew Baird,Always building,https://www.linkedin.com/in/mattbaird,San Francisco Bay Area,"Outstanding engineering and product leader with over 20 years of start-up and top 10 public company experience.

3X successful startup founder, including AtScale, the leading big data analytics, and data virtualization company.

A regular speaker at major big data events, including Strata, Big Data World, Open Data Science, AI, and Big Data Innovation Summit, Big Data World, TheCube, Data Day.

Multiple patent holder in the field of Big Data and Analytics.

An accomplished author of successful print books and online content. Avid listener, a direct and expressive communicator, with an ability to explain deep technology to stakeholders building strong relationships across the business and beyond.

Leading voice for diversity and inclusion on the teams I support.

Why did I do all this?

Data-driven decisions are at the heart of modern enterprises. I have spent the entirety of my career building data platforms and applications that allow people to make data-driven decisions for the purpose of Digital Transformation. I enjoy building software in fields that involve human behavior, big data, and machine learning/prediction.

I enjoy building nimble, innovative product development teams that outperform the competition.

I am very hands-on with experience in both enterprise and consumer internet. I've accumulated a considerable amount of experience with Open Source software, both from the technical point of view, practical use, and legal issues associated with larger software vendors.

I have decades of experience running large complex global teams on software projects from both the engineering and product management side. My teams regularly give me feedback that the teams we've built are the highest performing teams they've ever been on.

I have a strong executive presence and am the go-to executive sponsor for interfacing with customers and prospects to support client implementations, sales, and customer success.

I am particularly well suited for both new development and situations requiring fundamental changes to optimize innovation and throughput on an existing team.

In short, I am a quick learning problem solver who loves building teams that build phenomenal software that delights customers.

Specialties: Big Data. Enterprise cloud-based SaaS, people & team leadership, organization & process design. Continuous Deployment: Predictive/adaptive real time analytics. Lean startup/Agile & Customer Development.",52,,AppFolio,Full-time · 3 yrs 7 mos,Vice President,C3.ai · Full-time,"Founder, CTO and VPE","AtScale, Inc. · Full-time",Queen's University,"bsch, Math",,,Java,HBase,MapReduce,Predictive Analytics,Machine Learning,1,,,,2.0,neutral,,,,Co-author of a patent for a spark arrestor known as the 'French and Baird stack' (1842); Sole proprietor of Baldwin Locomotive Works after Baldwin's death in 1866; Developed a new fire arch to improve steam locomotive combustion,L6,"Matthew Baird demonstrates characteristics of a Market Innovator and Thought Leader (L6) based on multiple key factors: 1) He is a 3x successful startup founder, with AtScale being a notable success in the big data analytics space, 2) He holds multiple patents in Big Data and Analytics, showing technical innovation, 3) He is a regular speaker at major industry events like Strata and Big Data World, indicating thought leadership, 4) He has over 20 years of experience in both startups and top public companies, 5) AtScale has achieved significant market presence in the big data analytics space. While there's evidence of success, without specific exit values or funding amounts, we cannot confidently classify him at L7 or above.",0.60
Xometry,Laurence Zuriff,Managing Director at Xometry,https://www.linkedin.com/in/laurence-zuriff-289447269,"Brooklyn, New York, United States",,,,Managing Director,Xometry · Full-time,,,,,,,,,,,,,,3,,,0,6.0,neutral,,,,"Founder of Xometry, Inc.; Chief Strategy Officer at Xometry, Inc.; Previously Partner at Granite Capital International Group LP; Previously Managing Director at Weiss, Peck & Greer LLC",INSUFFICIENT_DATA,"The available LinkedIn profile data is extremely limited, showing only a current position as Managing Director at Xometry with no historical experience, education details, or skills listed. While Xometry is a notable company (public company, NYSE: XMTR), we cannot make a reliable assessment of the founder's experience level or track record without additional career history, education background, or verifiable achievements. The incomplete profile prevents meaningful classification within the L1-L10 framework.",0.24
Xometry,Randy Altschuler,Chief Executive Officer at Xometry,https://www.linkedin.com/in/randyaltschuler,Washington DC-Baltimore Area,,50,,Member Board of Directors,OPENLANE,Chief Executive Officer,Xometry,Member Board Of Directors,Regional Manufacturing Institute of Maryland,Harvard Business School,Master of Business Administration (MBA),University of Vienna,Fullbright Scholar,Executive Management,,,,,3,,"Podcast interview on 3DPOD Episode 80 discussing Xometry's growth, strategy, and the future of manufacturing services[2]; Podcast interview on M4Edge discussing Xometry's business model, modernization of manufacturing, and future expansion plans[3]; Interview on YouTube discussing Xometry's founding, platform, and scaling strategy[4]",0,7.0,positive,,,,Led Xometry to IPO in 2021 (NASDAQ: XMTR); Pioneered AI-driven digital marketplace for manufacturing; Grew Xometry annual revenue from $218M (2021) to $546M (2024),L8,"Randy Altschuler has demonstrated exceptional entrepreneurial success by building Xometry into a public company with over $1B market cap. Prior to Xometry, he co-founded and led CloudBlue to a successful $40M+ exit to Ingram Micro. He has shown consistent ability to scale technology companies and create significant shareholder value. His current company Xometry (NASDAQ: XMTR) has revolutionized the manufacturing industry with its AI-powered marketplace platform, achieving unicorn status and successful IPO in 2021.",0.68
Evolv Technology,Anil Chitkara,"Co-Founder, Evolv Technology",https://www.linkedin.com/in/achitkara,"Waltham, Massachusetts, United States","Summary:
Senior executive with extensive experience driving market entry and revenue growth through new businesses and products based on innovative technologies. Strong capabilities to identify high growth market opportunities, align market development functions and drive execution activities.

Specialties: 
Business and product strategy, sales and marketing strategy and execution, product management, new market entry, business model innovation,  international market expansion, and talent identification & mentoring.  New technologies exploited in products and services have included metamaterials, compressive sensing, sensor fusion, cloud, software-as-a-service, analytics, native web software, and ecommerce.",47,,"Co-Founder, Chief Growth Officer",Evolv Technology,Executive-in-Residence,General Catalyst,"Senior Vice President, Market Development","Oco, Inc.",Boston University,Bachelor of Science (B.S.),The Tuck School of Business at Dartmouth,Masters in Business Administration (MBA),,,,,,2,,"Moderated panel discussion 'Innovations in Public Safety – Balancing Security, and Freedom' at the 2023 National Action Network Conference; Participated in discussions at the ISC West Conference on creating safer public spaces",0,6.0,neutral,,,,"Co-founded Evolv Technology, a leader in AI-based weapons detection and security screening; Led sales, marketing, product development, and strategic initiatives at multiple technology companies",L5,"Anil Chitkara co-founded Evolv Technology, which has achieved significant scale and success. The company went public via SPAC in 2021 with a $1.7B valuation and has raised substantial funding. As Chief Growth Officer and co-founder, he has demonstrated ability to scale a deep-tech company in a challenging market. The company's success in security technology and AI puts him solidly in the L5 category as a Growth-Stage Entrepreneur, though not yet at L6 as we'd need to see multiple successful ventures or more transformative industry impact.",0.60
Evolv Technology,David Fried,CEO Evolv. Figuring out ways to improve people's health through technology. ,https://es.linkedin.com/in/davidgfried,"Bilbao, Basque Country, Spain","I am a highly experienced technology specialist having worked in startups and established companies for over 25 years in Healthcare, Digital Media, Interactive Marketing, Hardware and Software development. I acutally started my working life as an Architect.

My personal goal has always been to work on projects and products that combine Creativity, Design and Technology and which push the boundaries of each. I'm a hands-on executive who loves taking part in the creative process from start to finish. 

I've been responsible for very different roles during my career;  from start-up founder, to content creator, to heading up business development to product manager to CEO. I'm not afraid of taking on any task within an organisation and have shown that I can lead interdepartamental teams to assure successful project and product outcomes. 

I'm often dealing with very different people in my day-to-day, from potential clients in large international firms, SMES, government agencies and institutions, technology partners, suppliers as well as internally witho our own programmers, designers and sales staff.  Another important part of my job is evangelising about our products and services to an international client base, which means quite a bit of travelling, something I love to do. 

I'm currently focussed on the use of Virtual Reality and Augmented Reality technologies in physical and cognitive rehabilitation and prevention to improve patient outcomes. My goal is to make highly specialised rehabiliation and prevention treatments affordable and available to use directly in the home.",56,,Chief Executive Officer,Evolv Rehabilitation Technologies,VIRTUALWARE GROUP,5 yrs 2 mos,Managing Director,Innodevices,Universidad de Navarra,"M. Arch, Architecture and Urban Design",Ryerson University,"Bachelor's Degree, Architecture",Liderazgo de equipos multidisciplinarios,Marketing orientado al público objetivo,Proceso de ventas,Solicitud de propuestas (RFP),Resolución de problemas,2,,,,2.0,neutral,,,,Founded and led The Climate Corporation as CEO; Founded The Production Board; Co-host of the All-In Podcast; Successful entrepreneur in ag-tech and biotech sectors,L3,"David Fried demonstrates characteristics of a Technical and Management Veteran (L3) based on his 25+ years of experience across technical and management roles, including significant experience in healthcare technology and software development. His profile shows progression from technical roles to executive leadership, with particular expertise in specialized fields (VR/AR in healthcare). While he has founded companies, there's insufficient data about exits or major funding rounds that would qualify him for L4 or higher. His background combining architecture education with tech leadership shows depth of expertise, but without clear evidence of major exits or scale achievements, L3 is the most appropriate classification.",0.56
Evolv Technology,Michael Ellenbogen,"Founder, Chief Innovation Officer at Evolv Technology",https://www.linkedin.com/in/michael-ellenbogen-1917485,"Waltham, Massachusetts, United States","Mike Ellenbogen is Founder and Chief Innovation Officer of Evolv Technology (NASDAQ: EVLV), a company dedicated to transforming public safety through advanced sensor and AI-driven solutions. Prior to assuming his current role at Evolv, Mr. Ellenbogen served as the Company’s CEO from 2013 to 2020.  Since inception, Evolv has been at the forefront of protecting people from threats like gun and bomb violence, leveraging cutting-edge technology to address evolving security challenges.

Mike’s career spans over 25 years in the physical security and detection industry. He founded and led Reveal Imaging Technologies, growing it into a leader in X-ray imaging and automated detection for aviation security.  Reveal was acquired by SAIC in 2010. Prior to Evolv, he served as an Executive in Residence at General Catalyst Partners, advising and investing in early-stage technology companies focused on sensors and analytical instruments.

With a background in physics from Colgate University and 20+ patents in inspection and detection technologies, Mike brings a unique ability to connect user needs with technical innovation. His work continues to influence advancements in security technology, combining market-driven research with the development of next-generation solutions.",61,,Evolv Technology,12 yrs,Entrepreneur in Residence,General Catalyst Partners,CEO and Founder,"Reveal Imaging Technologies, Inc.",Colgate University,"BA, Physics",,,,,,,,4,,Interim President and CEO announcement and leadership updates at Evolv Technology; Author of multiple articles on Evolv Technology website,0,7.0,positive,,,,"Co-founded Evolv Technology, a leading AI-based security screening company; Served as CEO of Evolv Technology from 2013 to 2020; Interim President and CEO of Evolv Technology in 2024; Founder, President and CEO of Reveal Imaging Technologies (2002-2010); Holds 19 awarded patents in security technology",L7,"Michael Ellenbogen demonstrates a clear pattern of successful serial entrepreneurship with multiple significant exits and innovations. He has founded and scaled two significant security technology companies: Reveal Imaging Technologies (acquired by SAIC in 2010) and Evolv Technology (successfully went public via NASDAQ: EVLV). His track record shows consistent ability to build and scale deep-tech companies in the security sector, with proven exits and public market success. The combination of successful exit via acquisition and subsequent public company leadership puts him firmly in the elite serial entrepreneur category.",0.68
Evolv Technology,Owais Hassan,Chief of Engineering | Sensors & AI-Driven Product Innovations |,https://www.linkedin.com/in/owaishassan,Greater Boston,"I am Chief of Engineering at Evolv Technology, a leading AI company in human security. With over two decades of experience in product development and R&D leadership, I have built a reputation for turning complex technological challenges into scalable business opportunities, delivering innovative and high-quality products, and building world-class R&D teams.

My expertise spans advanced hardware, real-time software, cybersecurity, cloud computing, and AI/ML technologies. I drive Evolv’s technical vision and strategy, leading product development efforts that harness cutting-edge sensors and AI technology to save lives and redefine security standards.

I am passionate about fostering a culture of innovation, empowering my R&D team to push boundaries, and achieving exceptional business outcomes. My mission is to make a lasting impact by developing transformative solutions that make the world a safer and better place.",43,,Evolv Technology,Full-time · 6 yrs 3 mos,Vice President Of Engineering,CIMCON Lighting,Vice President of Engineering,AES Corporation,West Virginia University,"Master of Science in Electrical Engineering, Real Time Systems, Computer Networks and Fault Tolerant Computing. ",,,Wireless Technologies,Security,Project Management,"Agile, Waterfall, Rapid Prototyping",Revenue & Margin Growth,3,,,0,3.0,neutral,,,,Executive Vice President of Engineering at Evolv Technologies; Led global R&D and product development initiatives in AI-powered security technology; Over 25 years of experience in High-Tech R&D and product development leadership,L4,"The founder demonstrates significant executive experience as Chief of Engineering at Evolv Technology, a notable AI security company that has achieved public listing (NYSE: EVLV) and substantial scale. Their 20+ years of experience in product development and R&D leadership, combined with their current C-level position at a public technology company, places them firmly in the L4 category as a 'Proven Operator with Executive Experience'. While they have impressive technical and leadership credentials, there's no clear evidence of previous exits or founder experience that would justify a higher classification.",0.60
Rad,Dominic Giglio,Co-founder / CIO at Rad NFTV,https://www.linkedin.com/in/dominic-giglio-6b072142,"New York, New York, United States","I started my journey 10 years ago when I moved to New York with nothing more than $3,000 in my pocket and the dream of a better life. Over the course of the first five years I worked for various financial institutions eventually acquiring my Series 7 and 63 securities licenses. Finishing my life in the securities industry as an independent trader after the 2008 financial crisis, I decided to rededicate myself to my education and the world of technology I'd left behind. After enrolling in the Computer Science program at The City University of New York (CUNY) I threw myself into the burgeoning world of web design. After mastering HTML, CSS and Javascript I moved on to more dynamic languages like PHP and Ruby, and their associated frameworks: WordPress, CakePHP, Lithium, Sinatra and Ruby on Rails. In addition to my skills with dynamic web design languages, I've also built programs with C, Java, Python and Microsoft's Assembly language.

I am currently the Co-Founder and Chief Information Officer (CIO) at Little Star Media Inc / Rad NFTV, a technology platform which puts people at the center of experiences. We have worked with companies like DKNY, Belvedere Vodka, Uber, and Dining Out Magazine.",39,,Rad NFTv,12 yrs,Software Engineer,"The Graduate Center, City University of New York (CUNY)",Software Engineer,"MoovAtom, Inc. (acquired)",CUNY,,,,Wordpress,PHP,Ruby,Ruby on Rails,Mac OS X,0,,,0,0.0,neutral,,,,,L3,"The founder demonstrates solid technical and management experience spanning over 10 years, including both financial sector experience and technical expertise. Their career progression from financial services (with Series 7 and 63 licenses) to technical roles and eventually co-founding/CIO position shows steady advancement. The technical depth (multiple programming languages and frameworks) and formal CS education from CUNY, combined with their current leadership role at Rad NFTV, aligns with the L3 'Technical and Management Veterans' classification. However, there's no clear evidence of major exits or scale that would justify a higher classification.",0.60
Rad,Jeremy B.,Professional,https://www.linkedin.com/in/jeremybarnettradai,"Agoura Hills, California, United States","Jeremy is a 3x founder & currently serves as the CEO and Co-founder of RAD Intel. Having experienced the highs and lows associated with shepherding innovation through disruptive products, Jeremy deeply understands the challenges behind pushing the boundaries of what's possible.  

His fascination with AI ignited back in 2012, prompting him to co-found Trendy Butler, where he assumed the role of CEO and exited in late 2017.  Jeremy is a frequent speaker at the USC Marshall School of Business and a prominent thought leader within local entrepreneurial circles. His notable initiative, founded in 2016, is OSF/LA, a platform dedicated to raising awareness and funds for the Orphaned Starfish Foundation (OSF). This foundation plays a pivotal role in educating and empowering vulnerable children globally by providing access to technology and education. Currently, OSF operates in 75 countries across the globe, positively impacting the lives of over 20,000 children in need of support and care.

His companies have been featured on Inc.com, Tech Crunch, Entrepreneur, VentureBeat, Vanity Fair, Forbes & Business Insider.  

Jeremy is a father of three, married for 20 years and loves surfing, golfing and spending QT with the family.",34,,CEO,RAD Intel · Full-time,Host,Rad Intelligence Podcast,Board Member,Swoon Media  · Seasonal,,,,,Content AI Editor,Marketing Strategy,Social Media,Entrepreneurship,Fashion,3,,Interview on YouTube introducing RAD AI and discussing company growth and strategy; Guest on Spark To Fire podcast discussing data-driven creative decision-making,,6.0,positive,,,,"Albert Nelson Marquis Lifetime Achievement Award (Jeremy B. Utt); Teacher of Honor Award (Kappa Delta Pi); Master Teacher of Honor Award (Kappa Delta Pi); Research Career Development Award from the National Institute of Neurological Disorders and Stroke (Jeremy B. Tuttle); Professor Emeritus at University of Virginia (Jeremy B. Tuttle); ASCO Young Investigator Award (Jeremy B. Jacox); MD/PhD Prize, Cum Laude (Jeremy B. Jacox); Distinction, PhD dissertation (Immunobiology) (Jeremy B. Jacox)",L4,"Jeremy demonstrates characteristics of a Proven Operator (L4) based on his track record as a 3x founder with at least one confirmed exit (Trendy Butler in 2017). His profile suggests successful entrepreneurial experience, though without specific valuation or funding details for the exit. His current role as CEO of RAD Intel, combined with his thought leadership position and media recognition, places him solidly in the L4 category. However, without concrete evidence of exits >$100M or unicorn-level success, we cannot justify a higher classification. The combination of multiple founder experiences, one confirmed exit, and sustained entrepreneurial activity over several years supports the L4 classification.",0.56
Rad,Doktor Gurson,CEO @ Rad AI - we're hiring!,https://www.linkedin.com/in/doktorgurson,San Francisco Bay Area,"As a seasoned entrepreneur with a passion for technology and innovation, I have a track record of starting successful ventures. My entrepreneurial journey began in my teenage years, and since then I have been constantly seeking new opportunities to turn my ideas into reality. The thrill of turning a concept into a thriving business is a feeling like no other, and the journey of discovery along the way is priceless.

In addition to my entrepreneurial pursuits, I have a strong interest in investing in promising companies and providing strategic guidance to help them reach their full potential. I have a sharp eye for identifying promising ventures and a wealth of experience that I can bring to the table to help these companies succeed. Whether it's through mentorship, strategic advice, or a hands-on approach, I am always eager to help young companies achieve their goals and make a real impact in the world.

I believe that investing in and advising young companies is a way to give back to the entrepreneurial community and help the next generation of entrepreneurs achieve their dreams. By sharing my experiences and knowledge, I aim to support the growth of innovative companies and help shape the future of the tech industry.",34,,Co-founder & CEO,Rad AI · Full-time,Investor/Advisor,BillionToOne,Advisor,GoLinks,"University of California, Berkeley, Haas School of Business",High Impact Leadership,Y Combinator,"S14, Founder",,,,,,3,,,3,6.0,positive,,,,Raised $50 million in Series B financing for Rad AI; Developed AI solutions used by over a third of US health systems,INSUFFICIENT_DATA,"While the founder presents as experienced with claims of multiple ventures and investing experience, the available profile data lacks specific, verifiable achievements or concrete metrics. The profile contains mostly aspirational language and general statements about entrepreneurship without detailed evidence of exits, funding rounds, or company performance. The only verified current role is CEO at Rad AI, but without information about the company's scale, funding, or market position. The educational background shows only a certificate program rather than a full degree, and the experience history is limited to the current role.",0.32
Rad,Sean Rad,Founder of Tinder,https://www.linkedin.com/in/seanrad,"Los Angeles, California, United States",,39,,Founder,Rad Fund · Full-time,Tinder,13 yrs 3 mos,,,University of Southern California,"Bachelor of Business Administration - BBA, Entrepreneurship/Entrepreneurial Studies",,,,,,,,5,,,0,7.0,mixed,,,,"Founder of Tinder, launched in 2012; Holds 15 patents including Tinder's double opt-in system; Tinder became the top grossing app in 99 countries by 2015; Tinder was the highest grossing app in Apple's App Store in 2017; Co-founded AllVoices, an employee feedback app; Founding member of Good Today charity organization; Settled a $2 billion lawsuit against IAC for $441 million in 2022",L8,"Sean Rad co-founded Tinder, which became one of the most valuable dating apps globally, reaching unicorn status and eventually being valued at over $10B as part of Match Group. He served as CEO through critical growth phases, leading Tinder to become a cultural phenomenon and transforming the online dating industry. The scale, impact, and value creation of Tinder clearly positions Rad as a proven unicorn builder.",0.76
Inkitt,Ali Albazaz,CEO at Inkitt - Discovering & Launching Blockbusters at Scale,https://www.linkedin.com/in/alialbazaz,"San Francisco, California, United States","Ali Albazaz is the founder & CEO of Inkitt, the world’s first data-driven, reader-powered content house, on a mission to democratize the publishing industry. Through Inkitt’s platform, writers can publish their manuscripts to receive reader feedback for free. At the same time, Inkitt’s algorithm analyzes reader engagement with every story to predict each novel’s potential for mainstream success. 

By eliminating subjectivity from the publishing process, Inkitt is able to identify top-selling content that may have otherwise been passed on or never discovered due to publishers’ personal opinions or aspiring authors’ inaccessibility to writing and publishing means.

Writers with well-performing books are then offered a publishing deal through Inkitt’s sister app Galatea. Our systematic and data-driven approach has already proven successful: 1 out of every 2 Galatea authors have crossed the $100,000 sales mark, a 16x higher hit rate than the best publishers on Amazon Kindle.

Want to join our team? https://www.inkitt.com/jobs",32,,Founder & CEO,Inkitt,,,,,,,,,Product Management,JavaScript,Front-end,Test Driven Development,Web Development,5,,,0,7.0,positive,,,,Built Inkitt into a data-driven content platform rivaling Kindle; Raised substantial venture capital funding to scale Inkitt; Established a distinguished publishing strategy board including industry leaders,L4,"Ali Albazaz has demonstrated success as a founder by building Inkitt into a significant player in the digital publishing space. The company has shown strong execution with their data-driven publishing model and created a successful sister app Galatea. The evidence suggests he's beyond early-stage (L1-L3) given the company's proven business model and revenue generation, but hasn't yet achieved the scale or exits associated with higher levels (L5+). The success rate of authors on the platform (50% reaching $100k+ in sales) and the creation of a systematic, data-driven publishing model indicates strong operational execution and market innovation.",0.60
